Formula,formula_embedding,Volume,Density,Formation_Energy_per_atom,Energy_Above_Hull,Band_Gap_eV
TiNiO3,"[-0.5298, 0.0277, 0.06, -1.457, 0.2336, 0.6509, 0.443, 0.4509]",516.7503734,4.966626182,-2.576704853,0.020012814,1.7082
NaTaO3,"[0.2308, 0.1097, 0.0087, -1.0306, 0.3066, 0.7873, 0.1123, 0.3031]",581.7432251,5.753044326,0.124685543,3.18767784,0
TiVO3,"[-0.4028, -0.1268, -0.1662, -1.1314, 0.133, 0.7572, 0.4051, 0.9465]",216.7495142,4.498801514,-2.941060314,0.088556244,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",199.0053115,5.037750813,-2.439350695,0.011217036,1.315
AlCoO3,"[0.077, -0.6878, 0.1265, -1.2157, 0.0432, 1.1183, 0.149, -0.4026]",93.40382959,4.761424852,-2.225202082,0.116076581,0.8939
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",198.7293547,5.044746263,-2.439794716,0.010773015,1.3624
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",198.9772332,5.038461706,-2.438258903,0.012308829,0.0298
TiCrO3,"[-0.1117, -0.315, 0.1442, -1.1573, 0.2372, 0.6993, 0.8159, 0.734]",336.0209316,4.384181615,-2.769969235,0.123726626,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",199.0824137,5.035799753,-2.43731412,0.013253612,1.3455
NbTlO3,"[0.286, -0.4763, -0.3037, -0.4709, -0.3525, 0.9986, 0.2505, 0.1112]",622.4098078,7.369601272,-2.453145603,0,0.955
CuCO3,"[0.7456, -0.5122, -0.4124, -0.6564, -0.4153, 0.847, 0.211, 0.1952]",561.521937,3.288401615,-1.309738504,0.128613484,0
MnFeO3,"[0.0401, -0.8567, -0.2971, -1.1396, 0.126, 0.7862, -0.002, 0.6865]",438.417118,4.811170907,-1.793923,0.066582598,0.0017
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",199.092353,5.035548351,-2.437594932,0.012972799,1.3901
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",199.0047631,5.037764696,-2.441186288,0.009381444,1.6807
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",198.9786551,5.038425701,-2.439380243,0.011187489,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",198.9763709,5.03848354,-2.43943889,0.011128841,1.4095
AlVO3,"[0.3151, -0.2456, 0.0222, -0.9847, 0.3895, 1.0439, 0.442, 0.1131]",430.7647228,3.883273164,-0.897176781,2.08337257,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",210.1167567,4.771343256,0.268425466,2.718993197,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",209.9419208,4.775316746,0.169938839,2.62050657,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",210.2228856,4.768934491,0.157229953,2.607797684,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",209.8286354,4.777894914,0.18316258,2.633730311,0
GaFeO3,"[-0.3957, -1.059, -0.1901, -0.8417, -0.0068, 1.0751, 0.049, 0.7851]",435.6250847,5.292871616,2.692915952,4.680959963,0
GaFeO3,"[-0.3957, -1.059, -0.1901, -0.8417, -0.0068, 1.0751, 0.049, 0.7851]",436.1442573,5.286571145,-1.951375469,0.036668542,2.1227
CeAsO3,"[0.3991, -0.3093, 0.1977, -0.7636, 0.2716, 0.9056, 0.1434, 0.7017]",140.1999568,6.230832472,-2.745885613,0.152536309,0.0609
EuHO3,"[0.2245, -0.5242, -0.2687, -0.9214, -0.5661, 1.3689, 0.0249, 0.3635]",115.1028136,5.798620524,-1.734919808,0.371667368,0
LaAsO3,"[-0.0294, -0.2695, -0.0249, -0.8522, -0.1437, 0.73, -0.0628, 0.9084]",141.5137041,6.144579314,-2.863692103,0,2.693
CaBO3,"[-0.1287, -0.187, -0.3854, -0.3064, -0.2134, 1.1219, 0.1951, 0.238]",133.295447,2.463790962,-2.817581744,0.100919638,0.3587
VHO3,"[0.2203, -0.3718, -0.4327, -1.0186, -0.0977, 1.3217, -0.0999, 0.503]",341.8594546,2.912898127,-1.964186263,0.022129907,2.0714
